Ejecución,Insertion Sort,Selection Sort,Bubble Sort,Merge Sort,Quicksort
1,10.1114,10.9843,31.5099,0.0249849,0.0156861
2,11.0071,10.3823,30.0558,0.0238664,0.0157687
3,9.98762,10.3357,29.672,0.0223141,0.0118547
4,9.5186,10.6204,30.1474,0.0241213,0.0136928
5,10.4176,10.2627,29.8403,0.0238289,0.014081
6,10.9739,10.4822,30.696,0.0270437,0.0144755
7,10.5547,10.4779,29.9794,0.0172074,0.0142404
8,10.3406,10.3381,30.039,0.0244059,0.0147808
9,10.3617,10.2113,29.6205,0.0236383,0.0142785
10,10.4333,10.2174,29.8245,0.0161064,0.0124971
11,11.0996,10.2742,29.6321,0.0230755,0.0124146
12,9.82882,10.2176,29.36,0.0238128,0.0143232
13,11.4504,10.204,30.1494,0.0261336,0.0158379
14,12.3726,11.3567,33.3018,0.0266965,0.0159164
15,11.7563,11.1588,30.9879,0.0236706,0.0136297
16,9.9877,10.2136,29.9859,0.0237611,0.0141845
17,11.0951,10.224,29.7894,0.0237206,0.0143552
18,10.0987,10.1951,29.874,0.023773,0.0152064
19,10.1996,10.6313,29.7372,0.0237404,0.0138993
20,10.6579,10.3256,29.9895,0.0249217,0.0159582
21,10.1913,10.4375,30.176,0.0265229,0.0156303
22,10.4307,10.3803,30.8547,0.0236926,0.0145829
23,10.6528,10.5783,30.4001,0.0242801,0.0146346
24,10.1929,10.5786,30.4526,0.0243015,0.0142468
25,10.5179,10.82,30.1608,0.0245614,0.0139879
26,10.5412,10.4657,30.4618,0.015312,0.0123751
27,10.1664,10.471,30.8441,0.0244033,0.0157435
28,10.5035,10.4337,30.3052,0.0238743,0.0140052
29,10.4214,10.2796,29.8725,0.0151391,0.0125955
30,10.48,10.2772,29.9523,0.0237897,0.0138387
