No. Ejecución,Insertion Sort(segundos),Selection Sort(segundos),Bubble Sort(segundos),Merge Sort(segundos),Quicksort(segundos)
1,0.0263884,0.0393621,0.123437,0.00102533,0.000721427
2,0.0243421,0.0374341,0.119246,0.00105419,0.000849469
3,0.0256083,0.0396513,0.12371,0.00104373,0.00071939
4,0.0240581,0.0401062,0.121638,0.00104605,0.00077716
5,0.0248184,0.0396969,0.12037,0.00119619,0.000745616
6,0.0236812,0.0389425,0.117845,0.000995851,0.00070019
7,0.0240392,0.0386063,0.116439,0.000943495,0.000716983
8,0.0237341,0.038606,0.116816,0.00108414,0.000742431
9,0.0255107,0.0385977,0.117371,0.00101812,0.00071676
10,0.0236437,0.0385644,0.124125,0.00112877,0.000872982
11,0.0314617,0.0391175,0.119332,0.000993513,0.000747086
12,0.0250241,0.0395181,0.118035,0.000975661,0.000743038
13,0.0247729,0.0389515,0.122682,0.000940603,0.00069428
14,0.0263176,0.039555,0.123566,0.00124687,0.0007415
15,0.0247166,0.0379375,0.119928,0.00101303,0.000733065
16,0.0250769,0.037901,0.117807,0.00104088,0.000773398
17,0.0246616,0.0382711,0.120233,0.000979323,0.000718123
18,0.0236674,0.0369685,0.116056,0.000993409,0.000677844
19,0.0235062,0.0371098,0.11777,0.00105008,0.000764872
20,0.0238945,0.0377649,0.118787,0.000997016,0.000739747
21,0.0262349,0.0388906,0.118239,0.000950221,0.000739571
22,0.024455,0.0379614,0.115547,0.000951954,0.000685092
23,0.0242163,0.0368166,0.114805,0.00104512,0.000738067
24,0.0236287,0.0367269,0.116201,0.000988983,0.000729023
25,0.02367,0.0375135,0.116889,0.00100353,0.000728448
26,0.0251539,0.0391673,0.121101,0.00107442,0.000764074
27,0.0264092,0.0388621,0.120644,0.00104482,0.000769382
28,0.0241019,0.036662,0.116569,0.000957242,0.000719858
29,0.0249319,0.0373186,0.114907,0.000954331,0.000749705
30,0.0238035,0.0380248,0.115979,0.00100352,0.000836185
