No. Repeticiones,IS(segundos),SS(segundos),BS(segundos),MS(segundos),QS(segundos)
5,2.78e-08,3.57e-08,3.29e-08,9.12e-08,3.88e-08
10,2.84e-08,4.94e-08,6.19e-08,1.18e-07,5.08e-08
50,3.53e-07,4.56e-07,5.06e-07,2.74e-07,1.97e-07
100,1.18e-06,1.10e-06,1.65e-06,3.03e-07,3.75e-07
500,3.07e-05,6.84e-06,2.02e-05,2.80e-06,1.61e-06
1000,9.38e-05,2.84e-05,9.30e-05,4.26e-06,2.46e-06
5000,5.18e-04,1.05e-03,1.66e-03,3.93e-05,1.51e-05
10000,1.54e-03,9.84e-04,2.77e-03,7.03e-05,4.41e-05
50000,6.91e-03,9.64e-03,3.62e-02,2.42e-04,1.34e-04
100000,1.82e-02,2.23e-02,6.19e-02,3.47e-04,8.01e-04
500000,3.61e-01,3.68e-01,2.13e+00,1.90e-03,1.12e-03
1000000,1.75e+00,3.19e+00,1.37e+01,2.10e-03,2.12e-03
