n,IS,SS,BS,MS,QS
5,1.05e-07,1.21e-07,1.22e-07,2.34e-07,1.34e-07
10,2.17e-07,3.52e-07,3.68e-07,5.28e-07,3.33e-07
50,1.61e-06,2.99e-06,5.52e-06,3.39e-06,1.99e-06
100,5.86e-06,8.85e-06,1.86e-05,7.37e-06,4.36e-06
500,1.14e-04,1.26e-04,3.42e-04,4.19e-05,2.77e-05
1000,3.48e-04,4.30e-04,1.13e-03,8.21e-05,5.68e-05
5000,6.51e-03,9.91e-03,2.66e-02,4.85e-04,3.45e-04
10000,2.49e-02,3.84e-02,1.19e-01,1.02e-03,7.45e-04
50000,6.24e-01,9.78e-01,4.50e+00,5.94e-03,4.22e-03
100000,2.54e+00,3.88e+00,1.87e+01,1.26e-02,9.28e-03
500000,6.38e+01,9.83e+01,4.83e+02,7.05e-02,5.05e-02
1000000,2.64e+02,3.96e+02,1.96e+03,1.47e-01,1.07e-01
